date,description,amount,balance
2026-01-02,Direct Deposit - Keystone Office Solutions Payroll,4358.11,12778.26
2026-01-03,Citizens Bank Home Mortgage - Loan Pmt,-1842.00,10936.26
2026-01-05,PNC Bank HELOC - Equity Line Pmt,-165.00,10771.26
2026-01-06,Netflix.com,-22.99,10748.27
2026-01-06,Spotify USA,-11.99,10736.28
2026-01-07,Planet Fitness #4412,-24.99,10711.29
2026-01-07,NYTimes Digital Subscription,-17.00,10694.29
2026-01-08,Gerrity's Supermarket #12,-88.45,10605.84
2026-01-09,PPL Electric Utilities,-214.80,10391.04
2026-01-10,UGI Utilities - Gas,-156.40,10234.64
2026-01-12,Verizon Wireless,-94.22,10140.42
2026-01-13,Cornerstone Brokerage - ACH Investment Transfer,-1000.00,9140.42
2026-01-14,Sheetz #221 Fuel,-47.90,9092.52
2026-01-16,Direct Deposit - Keystone Commission Jan,2980.00,12072.52
2026-01-18,Wegmans Dickson City,-121.66,11950.86
2026-01-19,GEICO Auto Insurance,-138.50,11812.36
2026-01-22,Dunkin #3391,-6.85,11805.51
2026-01-24,Amazon Marketplace,-42.18,11763.33
2026-01-26,POSH Salon & Spa,-65.00,11698.33
2026-01-29,Barnes & Noble Scranton,-28.40,11669.93
2026-02-02,Direct Deposit - Keystone Office Solutions Payroll,4358.11,16028.04
2026-02-03,Citizens Bank Home Mortgage - Loan Pmt,-1842.00,14186.04
2026-02-05,PNC Bank HELOC - Equity Line Pmt,-165.00,14021.04
2026-02-06,Netflix.com,-22.99,13998.05
2026-02-06,Spotify USA,-11.99,13986.06
2026-02-07,Planet Fitness #4412,-24.99,13961.07
2026-02-07,NYTimes Digital Subscription,-17.00,13944.07
2026-02-08,Trader Joe's Scranton,-96.27,13847.80
2026-02-09,PPL Electric Utilities,-201.35,13646.45
2026-02-10,UGI Utilities - Gas,-149.10,13497.35
2026-02-11,Shell Oil #5567,-52.40,13444.95
2026-02-12,Verizon Wireless,-94.22,13350.73
2026-02-13,Cornerstone Brokerage - ACH Investment Transfer,-1000.00,12350.73
2026-02-13,1-800-Flowers Valentines,-84.99,12265.74
2026-02-14,Cooper's Seafood House,-188.20,12077.54
2026-02-17,Riccardo's Market,-71.31,12006.23
2026-02-19,GEICO Auto Insurance,-138.50,11867.73
2026-02-21,Lowe's Home Improvement #1788,-64.77,11802.96
2026-02-25,Rite Aid Pharmacy #2201,-38.66,11764.30
2026-02-27,Turkey Hill #410 Fuel,-49.55,11714.75
2026-03-02,Direct Deposit - Keystone Office Solutions Payroll,4358.11,16072.86
2026-03-03,Citizens Bank Home Mortgage - Loan Pmt,-1842.00,14230.86
2026-03-05,PNC Bank HELOC - Equity Line Pmt,-165.00,14065.86
2026-03-06,Netflix.com,-22.99,14042.87
2026-03-06,Spotify USA,-11.99,14030.88
2026-03-07,Planet Fitness #4412,-24.99,14005.89
2026-03-07,NYTimes Digital Subscription,-17.00,13988.89
2026-03-08,Wawa #844 Fuel,-51.40,13937.49
2026-03-09,PPL Electric Utilities,-188.43,13749.06
2026-03-09,Quinn's Market Green Ridge,-73.85,13675.21
2026-03-10,UGI Utilities - Gas,-104.11,13571.10
2026-03-12,Verizon Wireless,-94.22,13476.88
2026-03-12,Amazon.com Order,-38.62,13438.26
2026-03-13,Cornerstone Brokerage - ACH Investment Transfer,-1000.00,12438.26
2026-03-15,Direct Deposit - Keystone Commission Mar,3560.00,15998.26
2026-03-16,Dick's Sporting Goods - Golf,-529.99,15468.27
2026-03-18,Cooper's Seafood House,-214.76,15253.51
2026-03-19,GEICO Auto Insurance,-138.50,15115.01
2026-03-22,Cooper's Seafood House,-214.76,14900.25
2026-03-23,REVERSAL - Cooper's Seafood House,214.76,15115.01
2026-03-24,Price Chopper #14,-68.04,15046.97
2026-03-26,Ace Hardware Green Ridge,-57.61,14989.36
2026-03-30,Transfer to Citizens Savings ****2210,-500.00,14489.36
