date,description,amount
2026-01-01,Summit Peak Mortgage - Pmt,-2650.00
2026-01-02,Payroll - Mesa Verde Health Sys,4783.54
2026-01-04,CollegeInvest 529 Contribution,-400.00
2026-01-05,Xcel Energy Utilities,-289.40
2026-01-06,Netflix Subscription,-22.99
2026-01-08,Spotify Premium Subscription,-11.99
2026-01-09,Shell Fuel #438,-73.27
2026-01-09,Panera Bread,-40.80
2026-01-11,NY Times Digital Subscription,-17.00
2026-01-12,Comcast Xfinity Internet,-89.99
2026-01-12,Natural Grocers #505 Groceries,-218.45
2026-01-12,Sprouts Farmers Mkt #170 Groceries,-107.16
2026-01-12,Trader Joe's #951 Groceries,-220.20
2026-01-13,Prime Video Subscription,-9.99
2026-01-14,Payroll - Front Range SD12,3508.13
2026-01-17,Anytime Fitness Gym Dues,-39.00
2026-01-18,State Farm Auto Insurance,-182.00
2026-01-20,Granite Peak Brokerage Transfer,-500.00
2026-01-20,Trader Joe's #775 Groceries,-75.50
2026-01-20,Dr. Patel - Copay,-49.87
2026-01-24,King Soopers Fuel #930,-54.39
2026-01-25,Larkburger,-92.41
2026-01-25,Thai Basil,-43.90
2026-01-26,Sapphire Card Autopay xxxx4087,-650.00
2026-01-26,Steam Games,-19.99
2026-02-01,Summit Peak Mortgage - Pmt,-2650.00
2026-02-02,Payroll - Mesa Verde Health Sys,4783.54
2026-02-04,CollegeInvest 529 Contribution,-400.00
2026-02-05,Xcel Energy Utilities,-271.15
2026-02-06,Netflix Subscription,-22.99
2026-02-06,REI Co-op,-119.26
2026-02-07,Modern Market,-33.58
2026-02-08,Spotify Premium Subscription,-11.99
2026-02-08,Great Clips,-23.08
2026-02-11,NY Times Digital Subscription,-17.00
2026-02-12,Comcast Xfinity Internet,-89.99
2026-02-13,Prime Video Subscription,-9.99
2026-02-14,Payroll - Front Range SD12,3508.13
2026-02-17,Anytime Fitness Gym Dues,-39.00
2026-02-17,Modern Market,-89.32
2026-02-18,State Farm Auto Insurance,-182.00
2026-02-18,Phillips 66 Fuel #692,-75.73
2026-02-20,Granite Peak Brokerage Transfer,-500.00
2026-02-20,Whole Foods Market #925 Groceries,-120.02
2026-02-21,Trader Joe's #317 Groceries,-71.39
2026-02-21,Snooze A.M. Eatery,-35.07
2026-02-26,Sapphire Card Autopay xxxx4087,-650.00
2026-02-27,Target Grocery #200 Groceries,-95.08
2026-02-28,Phillips 66 Fuel #516,-76.63
2026-03-01,Summit Peak Mortgage - Pmt,-2650.00
2026-03-02,Payroll - Mesa Verde Health Sys,4783.54
2026-03-04,CollegeInvest 529 Contribution,-400.00
2026-03-05,Xcel Energy Utilities,-233.80
2026-03-06,Netflix Subscription,-22.99
2026-03-06,Costco Wholesale #524 Groceries,-82.56
2026-03-08,Spotify Premium Subscription,-11.99
2026-03-11,NY Times Digital Subscription,-17.00
2026-03-12,Comcast Xfinity Internet,-89.99
2026-03-13,Prime Video Subscription,-9.99
2026-03-13,Phillips 66 Fuel #459,-39.16
2026-03-14,Payroll - Front Range SD12,3508.13
2026-03-15,Conoco Fuel #819,-67.45
2026-03-15,Vitamin Shoppe,-23.72
2026-03-16,King Soopers Fuel #103,-63.75
2026-03-16,Thai Basil,-16.21
2026-03-17,Anytime Fitness Gym Dues,-39.00
2026-03-17,Whole Foods Market #421 Groceries,-74.99
2026-03-18,State Farm Auto Insurance,-182.00
2026-03-19,CloudVault Backup (auto-renew),-7.99
2026-03-20,Granite Peak Brokerage Transfer,-500.00
2026-03-21,Sprouts Farmers Mkt #609 Groceries,-196.38
2026-03-21,Chipotle,-28.02
2026-03-22,Cafe Mexicali,-47.03
2026-03-23,Safeway #440 Groceries,-145.07
2026-03-23,Panera Bread,-17.43
2026-03-26,Sapphire Card Autopay xxxx4087,-650.00
2026-03-27,Les Schwab Tire,-367.97
2026-04-01,Summit Peak Mortgage - Pmt,-2650.00
2026-04-02,Payroll - Mesa Verde Health Sys,4783.54
2026-04-04,CollegeInvest 529 Contribution,-400.00
2026-04-05,Xcel Energy Utilities,-198.62
2026-04-06,Netflix Subscription,-24.99
2026-04-06,Panera Bread,-32.19
2026-04-06,AXS Concert Tickets,-165.70
