date,description,amount
2026-03-01,Larkspur Apartments - Rent,-3650.0
2026-03-02,Payroll Deposit - Pinnacle Cloud Systems,9508.89
2026-03-03,Whole Foods Market #418,-163.44
2026-03-04,Xcel Energy - Electric/Gas,-141.2
2026-03-05,Netflix.com Subscription,-22.99
2026-03-05,Spotify Premium,-11.99
2026-03-06,Equinox Fitness - Monthly Dues,-285.0
2026-03-07,Adobe Creative Cloud,-59.99
2026-03-09,Transfer to Beacon Brokerage *2287,-2000.0
2026-03-10,Transfer to Summit HSA *5021,-191.67
2026-03-11,Trader Joes #210,-101.32
2026-03-12,Shell Oil 57442,-58.74
2026-03-13,King Soopers Fuel,-44.1
2026-03-15,Summit Visa Autopay ****4471,-224.8
2026-03-16,Comcast Xfinity Internet,-95.0
2026-03-18,Equinox Fitness - Monthly Dues,-285.0
2026-03-19,Equinox Fitness - REVERSAL (dup charge),285.0
2026-03-20,Amazon.com Order 114-77,-88.21
2026-03-21,Sweetgreen Union Station,-21.4
2026-03-23,Rioja Restaurant,-96.55
2026-03-24,Delta Air Lines 0067,-318.2
2026-03-25,Walgreens Pharmacy #6621,-37.85
2026-03-26,OpenAI ChatGPT Plus,-20.0
2026-03-27,The New York Times Digital,-25.0
2026-03-29,Pet Supplies Plus,-63.48
2026-03-30,Interest Earned,2.41
